nextStaId,line,unifiedId,humanName
40830,pink,0,18th
41120,g,1,35th-Bronzeville-IIT
40120,org,2,35th/Archer
41270,g,3,43rd
41080,g,4,47th
41230,red,5,47th
40130,g,6,51st
40580,pink,7,54th/Cermak
40910,red,8,63rd
40990,red,9,69th
40240,red,10,79th
41430,red,11,87th
40450,red,12,95th/Dan Ryan
40680,brn,13,Adams/Wabash
40680,g,14,Adams/Wabash
40680,org,15,Adams/Wabash
40680,pink,16,Adams/Wabash
40680,p,17,Adams/Wabash
41240,blue,18,Addison
41440,brn,19,Addison
41420,red,20,Addison
41200,red,21,Argyle
40660,brn,22,Armitage
40660,p,23,Armitage
40290,g,24,Ashland/63rd
40170,g,25,Ashland
40170,pink,26,Ashland
41060,org,27,Ashland
40010,blue,28,Austin
41260,g,29,Austin
41320,red,30,Belmont
41320,brn,31,Belmont
41320,p,32,Belmont
40060,blue,33,Belmont
40340,red,34,Berwyn
41380,red,35,Bryn Mawr
40440,pink,36,California
41360,g,37,California
40570,blue,38,California
40780,pink,39,Central Park
40280,g,40,Central
41250,p,41,Central
41000,red,42,Cermak-Chinatown
41690,g,43,Cermak-McCormick Place
41410,blue,44,Chicago
40710,p,45,Chicago
40710,brn,46,Chicago
41450,red,47,Chicago
40420,pink,48,Cicero
40970,blue,49,Cicero
40480,g,50,Cicero
40630,red,51,Clark/Division
40380,blue,52,Clark/Lake
40380,brn,53,Clark/Lake
40380,g,54,Clark/Lake
40380,org,55,Clark/Lake
40380,p,56,Clark/Lake
40380,pink,57,Clark/Lake
40430,blue,58,Clinton
41160,g,59,Clinton
41160,pink,190,Clinton
41670,g,60,Conservatory
40230,blue,61,Cumberland
40090,brn,62,Damen
41710,g,63,Damen
40210,pink,64,Damen
40590,blue,65,Damen
40050,p,66,Davis
40690,p,67,Dempster
40140,y,68,Dempster-Skokie
40530,brn,69,Diversey
40530,p,70,Diversey
40320,blue,71,Division
40720,g,72,Cottage Grove
40390,blue,73,Forest Park
40520,p,74,Foster
40870,brn,75,Francisco
41220,red,76,Fullerton
41220,brn,77,Fullerton
41220,p,78,Fullerton
40510,g,79,Garfield
41170,red,80,Garfield
40490,blue,81,Grand
40330,red,82,Grand
40760,red,83,Granville
40940,g,84,Halsted
41130,org,85,Halsted
40980,blue,86,Harlem
40020,g,87,Harlem/Lake
40750,blue,88,Harlem
40850,brn,89,Harold Washington Library-State/Van Buren
40850,org,90,Harold Washington Library-State/Van Buren
40850,p,91,Harold Washington Library-State/Van Buren
40850,pink,92,Harold Washington Library-State/Van Buren
41490,red,93,Harrison
40900,red,94,Howard
40900,p,95,Howard
40900,y,96,Howard
40810,blue,97,Illinois Medical District
40300,g,98,Indiana
40550,blue,99,Irving Park
41460,brn,100,Irving Park
40070,blue,101,Jackson
40560,red,102,Jackson
41190,red,103,Jarvis
41280,blue,104,Jefferson Park
41180,brn,105,Kedzie
41040,pink,106,Kedzie
41070,g,107,Kedzie
40250,blue,108,Kedzie-Homan
41150,org,109,Kedzie
41290,brn,110,Kimball
41140,g,111,King Drive
40600,pink,112,Kostner
41660,red,113,Lake
40700,g,114,Laramie
41340,blue,115,LaSalle
40160,brn,116,LaSalle/Van Buren
40160,org,117,LaSalle/Van Buren
40160,p,118,LaSalle/Van Buren
40160,pink,119,LaSalle/Van Buren
40770,red,120,Lawrence
41050,p,121,Linden
41020,blue,122,Logan Square
41300,red,123,Loyola
40270,p,124,Main
40460,brn,188,Merchandise Mart
40460,p,189,Merchandise Mart
40930,org,125,Midway
40790,blue,126,Monroe
41090,red,127,Monroe
41330,blue,128,Montrose
41500,brn,129,Montrose
41510,g,130,Morgan
41510,pink,131,Morgan
40100,red,132,Morse
40650,red,133,North/Clybourn
40400,p,134,Noyes
40180,blue,135,Oak Park
41350,g,136,Oak Park
41680,y,137,Oakton-Skokie
40890,blue,138,O'Hare
41310,brn,139,Paulina
41030,pink,140,Polk
40150,pink,141,Pulaski
40920,blue,142,Pulaski
40030,g,143,Pulaski
40960,org,144,Pulaski
40040,brn,145,Quincy/Wells
40040,org,146,Quincy/Wells
40040,p,147,Quincy/Wells
40040,pink,148,Quincy/Wells
40470,blue,149,Racine
40610,g,150,Ridgeland
41010,brn,151,Rockwell
41400,red,152,Roosevelt
41400,org,153,Roosevelt
41400,g,154,Roosevelt
40820,blue,155,Rosemont
40800,brn,156,Sedgwick
40800,p,157,Sedgwick
40080,red,158,Sheridan
40840,p,159,South Boulevard
40360,brn,160,Southport
40190,red,161,Sox-35th
40260,brn,162,State/Lake
40260,g,163,State/Lake
40260,org,164,State/Lake
40260,p,165,State/Lake
40260,pink,166,State/Lake
40880,red,167,Thorndale
40350,blue,168,UIC-Halsted
41700,brn,169,Washington/Wabash
41700,g,170,Washington/Wabash
41700,org,171,Washington/Wabash
41700,p,172,Washington/Wabash
41700,pink,173,Washington/Wabash
40730,brn,174,Washington/Wells
40730,org,175,Washington/Wells
40730,p,176,Washington/Wells
40730,pink,177,Washington/Wells
40370,blue,178,Washington
41210,brn,179,Wellington
41210,p,180,Wellington
41480,brn,181,Western
40740,pink,182,Western
40220,blue,183,Western
40670,blue,184,Western
40310,org,185,Western
40540,red,186,Wilson
40540,p,187,Wilson
